Company;Website;Score;Primary Keyword Matches from EPO;Secondary Keyword Matches from EPO;Nuclear mentioned on website;Oil and Gas mentioned on website;Keyword Matches from Website;Tab Matches from Website;Patent #
Infineon Technologies AG;https://www.infineon.com;245;[];['sensor  (secondary)', 'sensor  (secondary)'];;;['Energy', 'energy', 'energy', 'Energy', 'energy', 'Energy', 'energy', 'Energy', 'Energy', 'energy', 'energy', 'energy', 'energy', 'Energy', 'energy', 'energy', 'Energy'];['Products', 'Applications'];EP3511732
Mann and Hummel GmbH;https://www.mann-hummel.com;230;[];['sensor  (secondary)', 'sensor  (secondary)'];Y;;['Nuclear', 'Energy', 'Energy', 'Energy'];['Products'];EP3513866
Tactotek Oy;https://www.tactotek.com;200;[];['mapping  (secondary)', 'mapping  (secondary)'];;;;['Industries'];EP3514708
Microjet Technology Co Ltd;http://www.microjet.com.tw;255;[];['sensor  (secondary)', 'sensor  (secondary)'];;;['energy'];['Products', 'Applications'];EP3564663
Harman Professional Inc;https://pro.harman.com;150;[];['remote  (secondary)', 'sensor  (secondary)'];;;;['Products', 'Products'];EP3514662
Lee Jin Jin;http://t3.gstatic.com;150;[];['remote  (secondary)', 'sensor  (secondary)'];;;;;EP3518171
AGC Glass Europe SA;https://www.agc-glass.eu;220;[];['remote  (secondary)', 'sensor  (secondary)'];;;['energy', 'energy', 'energy', 'energy', 'energy', 'energy'];['Products'];EP3518616
Renesas Electronics Corp;https://www.renesas.com;235;[];['sensor  (secondary)', 'sensor  (secondary)'];;;['Energy', 'energy'];['Products', 'Applications'];EP3517984
Weston Aerospace Ltd;https://www.adsgroup.org.uk;150;[];['sensor  (secondary)', 'sensor  (secondary)'];;;;;EP3517977
Google LLC;https://encrypted-tbn0.gstatic.com;150;[];['remote  (secondary)', 'mapping  (secondary)'];;;;;EP3573014
Sick AG;https://www.sick.com;150;[];['sensor  (secondary)', 'sensor  (secondary)'];;;;;EP3540490
CSG Srl;https://www.csgsrl.eu;150;[];['remote  (secondary)', 'sensor  (secondary)'];;;;['Products', 'Applications', 'Products', 'Applications'];EP3524948
Braun GmbH;https://www.braun.de;150;[];['sensor  (secondary)', 'sensor  (secondary)'];;;;;EP3528172
Brasfield, Freddie R.;https://patentscope.wipo.int;150;[];['sensor  (secondary)', 'sensor  (secondary)'];;;;;EP3527979
Scott Technologies Inc;https://www.scottautomation.com;175;[];['remote  (secondary)', 'sensor  (secondary)'];;;;['Products', 'Services'];EP3527096
Innovative Technology Ltd;https://www.innovative-technology.com;200;[];['sensor  (secondary)', 'sensor  (secondary)'];;;;['Products', 'Products'];EP3531379
NXP BV;https://www.nxp.com;260;[];['sensor  (secondary)', 'sensor  (secondary)'];;;['Energy', 'Energy'];['Products', 'Services', 'Applications'];EP3531074
ServiceNow Inc;https://www.servicenow.com;270;[];['remote  (secondary)', 'mapping  (secondary)'];;;['Energy', 'Energy', 'Energy', 'Energy', 'Energy', 'Energy', 'Energy', 'Energy', 'Energy'];['Products', 'Services', 'Industries'];EP3594824
Abbott Diabetes Care Inc;https://www.diabetescare.abbott;150;[];['remote  (secondary)', 'remote  (secondary)'];;;;;EP3533387
Sysmex Corp;https://www.sysmex.co.jp;200;[];['sensor  (secondary)', 'sensor  (secondary)'];;;;['Products'];EP3533520
Toshiba TEC Corp;https://www.toshibatec.com;225;[];['sensor  (secondary)', 'sensor  (secondary)'];;;;['Products', 'Services'];EP3533613
Tyco Fire and Security GmbH;https://www.tyco-fire.com;150;[];['remote  (secondary)', 'sensor  (secondary)'];;;;['Products', 'Services', 'Products', 'Services'];EP3534346
Polar Electro Oy;https://www.polar.com;200;[];['sensor  (secondary)', 'sensor  (secondary)'];;;;['Products', 'Services'];EP3534373
